1 continue number,2 area code,3 NDB idertifier,4 NDB latitude,5 NDB longitude,6 airport:,7 VOR name
0,USA,OG  ,N44420543,W075211061,KOGS,OGIVE                         
0,USA,PK  ,N38451159,W094441265,KOJC,HERBB                         
0,USA,RG  ,N35174223,W097351924,KOKC,GALLY                         
0,USA,OK  ,N35451890,W095565540,KOKM,PRESO                         
0,USA,OP  ,N32550948,W084111370,KOPN,YATES                         
0,USA,OS  ,N43522590,W088332736,KOSH,POBER                         
0,USA,OS  ,N40042502,W083115302,KOSU,FULER                         
0,USA,OT  ,N43370268,W095275076,KOTG,WONDD                         
0,USA,OW  ,N42071103,W071074243,KOWD,STOGE                         
0,USA,OZ  ,N31133219,W085485701,KOZR,RUCKR                         
0,USA,PH  ,N42503492,W082354793,KPHN,PHURN                         
0,USA,PI  ,N40362023,W089353570,KPIA,TUNGG                         
0,USA,PI  ,N27594287,W082421380,KPIE,CAPOK                         
0,USA,PI  ,N42574960,W112305874,KPIH,TYHEE                         
0,USA,PK  ,N39151444,W081290579,KPKB,VERSI                         
0,USA,PK  ,N46500254,W094583203,KPKD,SPIDA                         
0,USA,PN  ,N36493012,W097060194,KPNC,PONCA                         
0,USA,RG  ,N44355216,W092385093,KRGK,REGUE                         
0,USA,RH  ,N45374117,W089370792,KRHI,ARSHA                         
0,USA,RO  ,N33215532,W104263205,KROW,TOPAN                         
0,USA,RP  ,N45190481,W091480934,KRPD,WICKR                         
0,USA,SW  ,N48514591,W095143076,KRRT,ROADD                         
0,USA,RU  ,N35435924,W080292244,KRUQ,ROVDY                         
0,USA,YM  ,N46044521,W094203651,KRYM,RIPLEY                        
0,USA,AN  ,N29362756,W098341107,KSAT,ALAMO                         
0,USA,SB  ,N34032330,W117215801,KSBD,PETIS                         
0,USA,SB  ,N41422030,W086130834,KSBN,MISHA                         
0,USA,LK  ,N38084143,W085375989,KSDF,LAANG                         
0,USA,SE  ,N32161137,W086553918,KSEM,POLLK                         
0,USA,TT  ,N34302094,W091345439,KSGT,STUTT                         
0,USA,SH  ,N38120648,W078572632,KSHD,STAUT                         
0,USA,SJ  ,N31164705,W100343443,KSJT,WOOLE                         
0,USA,SL  ,N38405353,W097384207,KSLN,FLORY                         
0,USA,CJ  ,N39473982,W089353201,KSPI,CALDE                         
0,USA,LQ  ,N39544285,W089361141,KSPI,LICOL                         
0,USA,SP  ,N39462334,W089453552,KSPI,HUSKK                         
0,USA,SP  ,N43140242,W095194042,KSPW,SNORE                         
0,USA,DS  ,N35072104,W091454178,KSRC,CERCY                         
0,USA,ST  ,N45284420,W093580726,KSTC,HUSSK                         
0,USA,ST  ,N39403289,W094542493,KSTJ,TARIO                         
0,USA,FZ  ,N38403850,W090325037,KSUS,EAVES                         
0,USA,SU  ,N38382069,W090460105,KSUS,SNOOP                         
0,USA,OI  ,N42273639,W096274401,KSUX,TOMMI                         
0,USA,SU  ,N42193910,W096172581,KSUX,SALIX                         
0,USA,SV  ,N32375541,W108034800,KSVC,COZEY                         
0,USA,SV  ,N32001478,W080591039,KSVN,WASSA                         
0,USA,SW  ,N41290889,W074134088,KSWF,NEELY                         
0,USA,SW  ,N36141025,W097051418,KSWO,BLAKI                         
0,USA,BZ  ,N32245535,W081395052,KTBR,BULLO                         
0,USA,TC  ,N33093047,W087401307,KTCL,TUSKE                         
0,USA,TE  ,N40481596,W074075695,KTEB,TORBY                         
0,USA,TO  ,N41331238,W083551620,KTOL,TOPHR                         
0,USA,TO  ,N39071332,W095411350,KTOP,BILOY                         
0,USA,TP  ,N28050756,W082313064,KTPA,COSME                         
0,USA,BO  ,N36235511,W082294657,KTRI,BOOIE                         
0,USA,TR  ,N36331980,W082190428,KTRI,MOCCA                         
0,USA,TU  ,N36055073,W095531956,KTUL,OILLR                         
0,USA,TU  ,N34104927,W088460724,KTUP,VERON                         
0,USA,TV  ,N44440439,W085254457,KTVC,GWENN                         
0,USA,TW  ,N42284310,W114211562,KTWF,STRIK                         
0,USA,TX  ,N33312678,W093542177,KTXK,TECCO                         
0,USA,BU  ,N39490940,W083121668,KTZR,BOUTN                         
0,USA,UC  ,N36175137,W088594153,KUCY,OBION                         
0,USA,UG  ,N42275002,W087480488,KUGN,WAUKE                         
0,USA,UI  ,N39531281,W091151323,KUIN,QUINCY                        
0,USA,UK  ,N39163354,W123142639,KUKI,KEARN                         
0,USA,UN  ,N40543670,W077443024,KUNV,PENUE                         
0,USA,UV  ,N34230633,W089373352,KUOX,TUNNG                         
0,USA,UZ  ,N34532409,W081045133,KUZA,RALLY                         
0,USA,VP  ,N41270442,W086523836,KVPZ,SEDLY                         
0,USA,VU  ,N35292099,W080050029,KVUJ,ALLER                         
0,USA,VV  ,N39525797,W079444096,KVVS,CAMOR                         
0,USA,EI  ,N36163012,W097472675,KWDG,GARFY                         
0,USA,LO  ,N44343153,W111115121,KWYS,TARGY                         
0,USA,YK  ,N42503738,W097180764,KYKN,CAGUR                         
0,USA,YN  ,N41120189,W080354628,KYNG,FETCH                         
